检测项,套装,副属性有效属性,部位,主属性,分数条件,倍率,分数条件,倍率,分数条件,倍率,分数条件,倍率
纯肉(坦克),速度 生命 防御 守护 免疫 逆袭,act on [生命%，生命，防御%，防御，速度],鞋子,生命%，速度,有效分数<58,0,有效分数[58-64],1.5*(有效分数-56),有效分数[64-68],3*(有效分数-60),有效分数>=68,5*(有效分数-63.2)
命坦(双效),速度 生命 防御 命中 免疫,act on [生命%，生命，防御%，防御，速度，命中],武器,全部,有效分数<62,0,有效分数[62-68],4/3*(有效分数-60.5),有效分数[68-72],2*(有效分数-63),有效分数>=72,3.5*有效分数-234
命坦(双效),速度 生命 防御 命中 免疫,act on [生命%，生命，防御%，防御，速度，命中],头盔,全部,有效分数<68,0,有效分数[68-74],4/3*(有效分数-67.25),有效分数[74-78],2*(有效分数-69.5),有效分数>=78,3.5*有效分数-256
命坦(双效),速度 生命 防御 命中 免疫,act on [生命%，生命，防御%，防御，速度，命中],防具,全部,有效分数<68,0,有效分数[68-74],4/3*(有效分数-67.25),有效分数[74-78],2*(有效分数-69.5),有效分数>=78,3.5*有效分数-256
命坦(双效),速度 生命 防御 命中 免疫,act on [生命%，生命，防御%，防御，速度，命中],项链,生命%，防御%,有效分数<63,0,有效分数[63-68],4/3*(有效分数-62),有效分数[68-74],7/3*(有效分数-64.5),有效分数>=74,4*有效分数-274
命坦(双效),速度 生命 防御 命中 免疫,act on [生命%，生命，防御%，防御，速度，命中],戒指,生命%，防御%，命中,有效分数<63,0,有效分数[63-68],4/3*(有效分数-62),有效分数[68-74],7/3*(有效分数-64.5),有效分数>=74,4*有效分数-274
命坦(双效),速度 生命 防御 命中 免疫,act on [生命%，生命，防御%，防御，速度，命中],鞋子,速度,有效分数<63,0,有效分数[63-68],有效分数-62,有效分数[68-74],7/3*(有效分数-64.5),有效分数>=74,4*有效分数-274
双效,速度 生命 防御 命中 抵抗 反击 免疫,act on [速度，生命%，防御%，防御，抵抗，命中，攻击%]；主属性、套装、副属性 需要包含至少一条命中或抵抗，且攻击%不可与命中抵抗同时存在(只能同时存在3者中之2),武器,全部,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
双效,速度 生命 防御 命中 抵抗 反击 免疫,act on [速度，生命%，防御%，防御，抵抗，命中，攻击%]；主属性、套装、副属性 需要包含至少一条命中或抵抗，且攻击%不可与命中抵抗同时存在(只能同时存在3者中之2),头盔,全部,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
双效,速度 生命 防御 命中 抵抗 反击 免疫,act on [速度，生命%，防御%，防御，抵抗，命中，攻击%]；主属性、套装、副属性 需要包含至少一条命中或抵抗，且攻击%不可与命中抵抗同时存在(只能同时存在3者中之2),防具,全部,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
双效,速度 生命 防御 命中 抵抗 反击 免疫,act on [速度，生命%，防御%，防御，抵抗，命中，攻击%]；主属性、套装、副属性 需要包含至少一条命中或抵抗，且攻击%不可与命中抵抗同时存在(只能同时存在3者中之2),项链,生命%，防御%，攻击%,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
双效,速度 生命 防御 命中 抵抗 反击 免疫,act on [速度，生命%，防御%，防御，抵抗，命中，攻击%]；主属性、套装、副属性 需要包含至少一条命中或抵抗，且攻击%不可与命中抵抗同时存在(只能同时存在3者中之2),戒指,生命%，防御%，攻击%，抵抗，命中,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
双效,速度 生命 防御 命中 抵抗 反击 免疫,act on [速度，生命%，防御%，防御，抵抗，命中，攻击%]；主属性、套装、副属性 需要包含至少一条命中或抵抗，且攻击%不可与命中抵抗同时存在(只能同时存在3者中之2),鞋子,速度,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
半肉(血防),生命 防御 速度 破灭 反击 伤口 免疫 穿透,act on [暴率，爆伤，速度，生命%，防御%，防御],武器,全部,有效分数<71,0,有效分数[71-74],2/3*(有效分数-69.5),有效分数[74-78],2*(有效分数-72.5),有效分数>=78,3.5*有效分数-262
半肉(血防),生命 防御 速度 破灭 反击 伤口 免疫 穿透,act on [暴率，爆伤，速度，生命%，防御%，防御],头盔,全部,有效分数<71,0,有效分数[71-74],2/3*(有效分数-69.5),有效分数[74-78],2*(有效分数-72.5),有效分数>=78,3.5*有效分数-262
半肉(血防),生命 防御 速度 破灭 反击 伤口 免疫 穿透,act on [暴率，爆伤，速度，生命%，防御%，防御],防具,全部,有效分数<71,0,有效分数[71-74],2/3*(有效分数-69.5),有效分数[74-78],2*(有效分数-72.5),有效分数>=78,3.5*有效分数-262
半肉(血防),生命 防御 速度 破灭 反击 伤口 免疫 穿透,act on [暴率，爆伤，速度，生命%，防御%，防御],项链,暴率，爆伤,有效分数<69,0,有效分数[69-74],4/5*(有效分数-66.5),有效分数[74-78],2*(有效分数-71),有效分数>=78,4*(有效分数-74.5)
半肉(血防),生命 防御 速度 破灭 反击 伤口 免疫 穿透,act on [暴率，爆伤，速度，生命%，防御%，防御],戒指,生命%，防御%,有效分数<69,0,有效分数[69-74],4/5*(有效分数-66.5),有效分数[74-78],2*(有效分数-71),有效分数>=78,4*(有效分数-74.5)
半肉(血防),生命 防御 速度 破灭 反击 伤口 免疫 穿透,act on [暴率，爆伤，速度，生命%，防御%，防御],鞋子,速度,有效分数<69,0,有效分数[69-74],4/5*(有效分数-66.5),有效分数[74-78],2*(有效分数-71),有效分数>=78,4*(有效分数-74.5)
半肉,生命 防御 速度 暴击 破灭 反击 伤口 吸血 免疫 穿透 回击,act on [攻击%，暴率，爆伤，速度，生命%，防御%，防御],武器,全部,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
半肉,生命 防御 速度 暴击 破灭 反击 伤口 吸血 免疫 穿透 回击,act on [攻击%，暴率，爆伤，速度，生命%，防御%，防御],头盔,全部,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
半肉,生命 防御 速度 暴击 破灭 反击 伤口 吸血 免疫 穿透 回击,act on [攻击%，暴率，爆伤，速度，生命%，防御%，防御],防具,全部,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
半肉,生命 防御 速度 暴击 破灭 反击 伤口 吸血 免疫 穿透 回击,act on [攻击%，暴率，爆伤，速度，生命%，防御%，防御],项链,暴率，爆伤，生命%，攻击%,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
半肉,生命 防御 速度 暴击 破灭 反击 伤口 吸血 免疫 穿透 回击,act on [攻击%，暴率，爆伤，速度，生命%，防御%，防御],戒指,生命%，防御%，攻击%,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
半肉,生命 防御 速度 暴击 破灭 反击 伤口 吸血 免疫 穿透 回击,act on [攻击%，暴率，爆伤，速度，生命%，防御%，防御],鞋子,速度,有效分数<72,0,有效分数[72-75],2/3*(有效分数-70.5),有效分数>=75,2*(有效分数-73.5),,
未来可期,全部,全部,全部,全部,分数<75,0,分数>=75,2/3*(分数-73.5),,,,
